,Article Title,Authors,Abstract,Volume,Source Title,Publication Year,ISSN,DOI,Source
630,Augmented reality aided object mapping for worker assistance/training in an industrial assembly context: Exploration of affordance with existing guidance techniques,"['Eswaran, M.', 'Raju Bahubalendruni, M.V.A.']","In recent years, the affordances of immersive technologies in the industrial context have enabled the onsite worker to have increased potential towards handling the complex procedural and cognitive tasks involved in the strategy of manufacturing an appropriate product. This article describes the potential of Augmented Reality (AR) in terms of upgraded workplace understanding, training, and assisting semi-skilled/new workers in an industrial production environment. The different modes of instruction visualization techniques are investigated for the execution of assembly tasks and explored their impact in accordance to the efficiency of task execution, completion time, error rate perception, cognitive load, and independence. Progress outcomes of 24 participants are explored for real-time execution of a Reverse osmosis (RO) booster pump assembly in terms of different modes of visualization, such as the conventional document method, virtual /desktop mode, and object mapping-based AR. Additionally, the user studies on different visualization devices involving hand-held visualization devices (HHVD) and Head-mounted visualization devices (HMVD) are investigated and validated in terms of adaptability, acceptability, and usability. Furthermore, the effectiveness of the AR-aided object mapping technology versus other methods is explored through the feedback received from both experts and academia participants, which increases the insight of the technology and provides an intelligent mechanism for semi-skilled/new workers to handle complex or challenging operations in the production environment. The studies indicate that object mapping-based AR visualization facilitates increased assembly task efficiency and the minimum number of errors compared to the other guidance modes. Notably, the HMVD affords an increased realism experience, minimized errors, and less completion time compared to the HHVD.",185.0,Computers & Industrial Engineering,2023,0360-8352,https://doi.org/10.1016/j.cie.2023.109663,SD
631,Job rotations based on physical and psychological workloads: A proposal for the footwear industry,"['Leite, Wilza Karla dos Santos', 'Araújo, Anísio José da Silva', 'Silva, Luiz Bueno da', 'Costa, Luciano Carlos Azevedo da', 'Silva, Jonhatan Magno Norte da', 'Vieira, Elamara Marama de Araujo', 'Souza, Erivaldo Lopes de', 'Kramer, Hugo Harry Frederico Ribeiro', 'Oliveira, Romero Cardoso']","Introduction The aim of this study is to propose a model of job rotations in shoes (sandals and tennis shoes) production cells, aiming at reducing the risk exposure to work-related musculoskeletal disorders considering physical and psychological workloads. Methods The physical load was assessed by the Occupational Repetitive Actions method, and the psychological load by the Job Stress Scale. A total of 259 workers in the footwear industry participated in this study. These loads were incorporated into a multi-objective mathematical programming model, where the objective functions aimed to minimize the maximum work-related musculoskeletal disorders and the maximum total work demand, and to maximize the minimum work control and social support to which a worker might be exposed during a daily journey. To the best of our knowledge, this is the first time in the literature that physical and psychological aspects are considered when solving job rotation problems. To tackle the problem, we propose a matheuristic based on an epsilon-constraint framework. This method allows us to generate different solutions with respect to the specific objective functions. To assess the effectiveness of the solutions, we calculated the variance of the scores of the physical and psychological loads in the conditions without and with rotations. Results Five rotation solutions were reached for the sandal production cells and twelve for the tennis shoe production cells. There was a reduction in the variation of physical and psychological loads in all solutions for both cells when compared to the no rotation condition. However, for the sandal production cells, the reduction in variation between the physical loads of the conditions with and without rotations was not significant due to the similarity of the exposure indices. Conclusions The model reduces the risk of work-related musculoskeletal disorders, promoting variability in muscle recruitment and enrichment of work content, being applicable in other segments.",188.0,Computers & Industrial Engineering,2024,0360-8352,https://doi.org/10.1016/j.cie.2024.109887,SD
632,Exploring augmented reality for worker assistance versus training,"['Moghaddam, Mohsen', 'Wilson, Nicholas C.', 'Modestino, Alicia Sasser', 'Jona, Kemi', 'Marsella, Stacy C.']","This paper aims at advancing the fundamental understanding of the affordances of Augmented Reality (AR) as a workplace-based learning and training technology in supporting manual or semi-automated manufacturing tasks that involve both complex manipulation and reasoning. Between-subject laboratory experiments involving 20 participants are conducted on a real-life electro-mechanical assembly task to investigate the impacts of various modes of information delivery through AR compared to traditional training methods on task efficiency, number of errors, learning, independence, and cognitive load. The AR application is developed in Unity and deployed on HoloLens 2 headsets. Interviews with experts from industry and academia are also conducted to create new insights into the affordances of AR as a training versus assistive tool for manufacturing workers, as well as the need for intelligent mechanisms that enable adaptive and personalized interactions between workers and AR. The findings indicate that despite comparable performance between the AR and control groups in terms of task completion time, learning curve, and independence from instructions, AR dramatically decreases the number of errors compared to traditional instruction, which is sustained after the AR support is removed. Several insights drawn from the experiments and expert interviews are discussed to inform the design of future AR technologies for both training and assisting incumbent and future manufacturing workers on complex manipulation and reasoning tasks.",50.0,Advanced Engineering Informatics,2021,1474-0346,https://doi.org/10.1016/j.aei.2021.101410,SD
633,Inclusive manufacturing: A contribution to assembly processes with human-machine reciprocal learning,"['Simeone, Alessandro', 'Fan, Yuchen', 'Antonelli, Dario', 'Catalano, Angioletta R.', 'Priarone, Paolo C.', 'Settineri, Luca']","This study explores the potential synergy between neurodiversity and advanced technology within Industry 5.0, focusing on the integration of neurodiverse individuals in the workforce through Human-Machine Collaboration and Reciprocal Learning (RL). A cognitive load (CL) assessment procedure is developed using fuzzy logic inference across the dimensions of attention, memory, language, math, logic, and reading. A case study evaluates the effectiveness of RL in assisting assembly tasks. Different error-handling scenarios are compared. Experimental results show how RL can reduce the CL while improving assembly tasks efficiency, underscoring the value of intelligent systems in inclusive manufacturing, enhancing productivity and facilitating the integration of neurodiverse workers.",73.0,CIRP Annals,2024,0007-8506,https://doi.org/10.1016/j.cirp.2024.03.005,SD
634,A multi-objective programming approach to develop an ergonomic job rotation in a manufacturing system,"['Moussavi, S.E.', 'Mahdjoub, M.', 'Grunder, O.']",A worker assignment job rotation problem with the heterogeneous workers and the jobs with different workload level is presented in this paper. Both productivity and ergonomic criteria are considered in the problem and a multi-objective mixed-integer mathematical model is proposed to implement an ergonomic job rotation in a production system. The main objective of the model is to balance the daily workload that the workers are exposed together with reducing the production cycle time in the studied system. The proposed mathematical model is applied to a part of a truck assembly line. The model is programmed by GMPL mathematical modeling language and is solved by employing Gurobi solver. The computational results show the capability of the proposed model to optimize both objectives of the job rotation.,51.0,IFAC-PapersOnLine,2018,2405-8963,https://doi.org/10.1016/j.ifacol.2018.08.445,SD
635,Dynamic assessment of control room operator's cognitive workload using Electroencephalography (EEG),"['Iqbal, Mohd Umair', 'Srinivasan, Babji', 'Srinivasan, Rajagopalan']","In modern plants with high levels of automation, acquiring an adequate mental model of the process has become a challenge for operators. Studies indicate that sub-optimal decisions occur when there is a mismatch between the demands of the process and the human's capability. This mismatch leads to high cognitive workload in human operators, often a precursor for poor performance. Recently, researchers in various safety critical domains (aviation, driving, marine, NPP, etc.) have started to explore the use of physiological measurements from humans to understand their cognitive workload and its effect. In this work, we evaluate the potential of EEG to measure cognitive workload of human operators in chemical process control room. We propose a single dry electrode EEG based methodology for identifying the similarities and mismatch between the operators’ mental model of the process and the actual process behaviour during abnormal situations. Our results reveal that SƟ(ω), the power spectral density of theta (ɵ) waves (frequency range 4–7 Hz) in the EEG signal has the potential to identify such mismatches. Results indicate that SƟ(ω) is positively correlated with workload and hence can be used for assessing the cognitive workload of operators in process industries.",141.0,Computers & Chemical Engineering,2020,0098-1354,https://doi.org/10.1016/j.compchemeng.2020.106726,SD
636,Human Robot Interaction – learning how to integrate collaborative robots into manual assembly lines,"['Oberc, Henning', 'Prinz, Christopher', 'Glogowski, Paul', 'Lemmerz, Kai', 'Kuhlenkötter, Bernd']","Human-Robot Collaboration (HRC) is one of the main challenges for companies today. Despite the trend on collaborative robots, use cases within manufacturing systems seem to be still rare. Although collaborative robots are promised to be one of the crucial innovations for ergonomically assistance for blue collar workers, the integration process into the production process and the preoccupation of workers against robot assistance alike, can be assumed as biggest challenges for companies. One of the reason might be the missing methodology and simulation tools for quick analysis of workplaces, in order to detect possible workloads for robots. The given article presents a developed learning factory seminar for students as well as industrial participants on how to integrate collaborative robots into manual assembly lines. This approach focuses on the problem based learning structure of the seminar and on the essential methods and developed concepts which are necessary to analyze workplaces, simulate robot integration with the possibility of analyzing the distributed workload between the worker and the robot. Tools as a “quick check” analysis for HRC and the simulation software Editor of manual work activities (ema) will be integrated during this concept. Besides the technological implementation and the different organization of work by implementing HRC in a production process, the participants will also discuss the affects and changes for the employees. This will cover the T-O-P (technology-organization-employee) approach [1] and will help to design an implementation project for HRC.",31.0,Procedia Manufacturing,2019,2351-9789,https://doi.org/10.1016/j.promfg.2019.03.005,SD
637,Combining Simulation and Augmented Reality Methods for Enhanced Worker Assistance in Manual Assembly,"['Lampen, Eva', 'Teuber, Jonas', 'Gaisbauer, Felix', 'Bär, Thomas', 'Pfeiffer, Thies', 'Wachsmuth, Sven']","Due to mass customization product variety increased steeply in the automotive industry, entailing the increment of worker’s cognitive load during manual assembly tasks. Although worker assistance methods for cognitive automation already exist, they proof insufficient in terms of usability and achieved time saving. Given the rising importance of simulation towards autonomous production planning, a novel approach is proposed using human simulation data in context of worker assistance methods to alleviate cognitive load during manual assembly tasks. Within this paper, a new concept for augmented reality-based worker assistance is presented. Additionally, a comparative user study (N=24) was conducted with conventional worker assistance methods to evaluate a prototypical implementation of the concept. The results illustrate the enhancing opportunity of the novel approach to save cognitive abilities and to induce performance improvements. The implementation provided stable information presentation during the entire experiment. However, with regard to the recentness, there has to be carried out further developments and research, concerning performance adaptions and investigations of the effectiveness.",81.0,Procedia CIRP,2019,2212-8271,https://doi.org/10.1016/j.procir.2019.03.160,SD
638,Characteristic analysis of elderly workers in human-centric production systems using real observations and simulated constraints,"['Kondoh, Shinsuke', 'Hayakawa, Kenta']","Owing to the growing number of elderly workers in developed countries, the age-friendly design of production systems is crucial for the success of human-centric manufacturing. To obtain knowledge for designing age-friendly production systems, this study conducted the first characteristic analysis of elderly workers, focusing on the set parts supply process. By combining motion analysis with the subjective mental workload survey, this study clarified the differences in how tasks are performed by elderly and young workers and how such differences affect the mental workload of elderly workers. The findings enable evidence-based design and implementation of age-friendly production systems.",72.0,CIRP Annals,2023,0007-8506,https://doi.org/10.1016/j.cirp.2023.04.028,SD
639,An Online Framework for Cognitive Load Assessment in Industrial Tasks,"['Lagomarsino, Marta', 'Lorenzini, Marta', 'De Momi, Elena', 'Ajoudani, Arash']","The ongoing trend toward Industry 4.0 has revolutionised ordinary workplaces, profoundly changing the role played by humans in the production chain. Research on ergonomics in industrial settings mainly focuses on reducing the operator’s physical fatigue and discomfort to improve throughput and avoid safety hazards. However, as the production complexity increases, the cognitive resources demand and mental workload could compromise the operator’s performance and the efficiency of the shop floor workplace. State-of-the-art methods in cognitive science work offline and/or involve bulky equipment hardly deployable in industrial settings. This paper presents a novel method for online assessment of cognitive load in manufacturing, primarily assembly, by detecting patterns in human motion directly from the input images of a stereo camera. Head pose estimation and skeleton tracking are exploited to investigate the workers’ attention and assess hyperactivity and unforeseen movements. Pilot experiments suggest that our factor assessment tool provides significant insights into workers’ mental workload, even confirmed by correlations with physiological and performance measurements. According to data gathered in this study, a vision-based cognitive load assessment has the potential to be integrated into the development of mechatronic systems for improving cognitive ergonomics in manufacturing.",78.0,Robotics and Computer-Integrated Manufacturing,2022,0736-5845,https://doi.org/10.1016/j.rcim.2022.102380,SD
640,Multi-assistance systems in manufacturing - a user study evaluating multi-criteria impact in a high-mix low-volume assembly setting,"['Zigart, Tanja', 'Zafari, Setareh', 'Stürzl, Felix', 'Kiesewetter, Robert', 'Kasparick, Hans-Peter', 'Schlund, Sebastian']","Understanding how skilled workers interact with assistance systems in manufacturing and how they experience the factory environment is fundamental to modeling human interaction and optimizing the processes correctly. This paper investigates humans’ behaviors and perceived experiences while interacting with cognitive and physical assistance systems. To enable decisions about the combined use of more than one assistance system within a manufacturing process, comprehensive and comparable knowledge about the impact of applications on productivity and human factors is needed. A multidimensional evaluation model with a mixed-methods approach was developed and applied in a user study. In 300 run-throughs in six different scenarios with skilled workers and students, a questionnaire on human factors was completed after finishing the task. Furthermore, productivity and quality were measured during the study. A comparison between skilled workers and students demonstrated that the usability score of all assistance systems was rated higher among the students. The students rated the ergonomics aspects better for five out of six scenarios. Results show higher compatibility with values and experiences in all investigated combinations for skilled workers than for students. Considering the collected data among the skilled workers, the overall compatibility with experience and values of multi-assistance system scenarios was more positive than in the single-assistance system scenarios. Our results show no significant differences in ergonomics, mental, physical, and temporal workload between single and multi-assistance system settings. With 150 run-throughs of industrial professionals and campus recruits each, the survey joins only two studies with more than 100 participants. To the authors' knowledge, it is the first systematic multi-criteria evaluation for the combined use of several (cognitive and physical) industrial assistance systems. The results help to ease practitioners’ evaluation of technical support systems in manufacturing with an emphasis on multi-criteria evaluation and the consideration of interconnected (cognitive and physical) assistance systems. Furthermore, the results contribute to further research in human–machine interaction and its impact on productivity and human factors as they show potentials and prospective challenges of the implementation and application of multiple assistance systems.",186.0,Computers & Industrial Engineering,2023,0360-8352,https://doi.org/10.1016/j.cie.2023.109674,SD
641,Towards industry 5.0: A multi-objective job rotation model for an inclusive workforce,"['Battini, Daria', 'Berti, Nicola', 'Finco, Serena', 'Zennaro, Ilenia', 'Das, Ajay']","The new Industry 5.0 paradigm complements the well-known Industry 4.0 approach by specifically driving research and innovation to facilitate the transition to sustainable, human-centric and resilient industry. In the manufacturing context, workers' diversity in terms of experience, productivity and physical capacity represents a significant challenge for companies, especially those characterized by high staff turnover and manual processes with high workload and poor ergonomics. In seeking to address such challenges, this research adopts a human-centric perspective to define new flexible job arrangements by developing a new multi-objective job rotation scheduling model. The proposed model is unique in that it aims to achieve multiple job assignment objectives by simultaneously considering different socio-technical factors: workers' experience, physical capacity and limitations, postural ergonomic risks, noise and vibration exposure, and workers' boredom. The model's implementation in real environments can be supported by new sensor-based technologies that collect data on workers' efficiency, ergonomic scores and task performance and enable workers to participate in measuring perceived fatigue and boredom. The primary goal of our model is to find the most appropriate assignment of job and individual-flexible rest-break plan for each worker. The authors test the model application in an industrial setting. Useful managerial insights emerge and prescriptive recommendations are provided.",250.0,International Journal of Production Economics,2022,0925-5273,https://doi.org/10.1016/j.ijpe.2022.108619,SD
642,Workload categorization for hazardous industries: The semantic modelling of multi-modal physiological data,"['König, Jemma L.', 'Hinze, Annika', 'Bowen, Judy']","The forestry industry is one of the most hazardous industries in New Zealand, and the physical and cognitive fatigue of forestry workers has been shown to contribute to this. Physical and cognitive fatigue can be exacerbated by prolonged physical and cognitive workload. As such, we propose that the identification and mitigation of fatigue factors could reduce the risk of incident and injury in hazardous work environments. This paper introduces a semantic model for workload categorization. The model takes as input, a set of multi-modal physiological measurements, and uses parallel processing, complex event processing, and rule-based modelling to categorize a series of workloads (resting, cognitive workload, and physical workload). The model has undergone a set of evaluations, including categorization accuracy, and performance. The model has been tested under three scenarios: when a participant is resting and refraining from any physically or mentally demanding tasks; when a participant is undertaking a cognitively intensive task; and when a participant is walking, jogging, and running. The study has been conducted with participants between the ages of 22 and 39 and has shown an average accuracy of 89% for resting workload, 76% for cognitive workload, and 97% for physical workload. Finally, in this paper we discuss the application and extension of this model to predict fatigue in hazardous industries. The work described in this paper contributes to a larger research project centered on investigating technology uses in hazardous work environments.",141.0,Future Generation Computer Systems,2023,0167-739X,https://doi.org/10.1016/j.future.2022.11.019,SD
643,Cognitive Human Modeling in Collaborative Robotics,"['Fruggiero, Fabio', 'Lambiase, Alfredo', 'Panagou, Sotirios', 'Sabattini, Lorenzo']","In today’s INDUSTRY 4.0 context, the growing need to improve performances and sustainability of working environment is looking forward to developing interoperable and service-oriented systems with real time capabilities. This is boosting the installation of decentralized and reliable robotics cells with flexible cooperative capabilities. They enroll smart operators’flexibility and robot productivity in collaborative robotics (properly cobots) applications. This paper consists of a state-of-the-art review on cognitive load in manufacturing with characterization of human-robot collaboration. A simulated analysis of a collaborative working cell is performed. An Agent Based (AB) model is presented with application in the automotive sector. The cell consists of logistics AGVs equipped with a manipulator. They interact with working robots and human operator. Robots collaborate in cell and they cooperate with operator on assisted task using Human Machine Interfaces (HMI). The load of human in the collaborative work-cell– set on state of art - is measured according with Functional states over different Behavioral Structures (FBS). We quantified the load of cognitive factors while reporting interaction analysis. Some factors as age and interface complexity and recovery strategy are investigated while reporting their effect on a dynamic variable, i.e., physical stress properly fatigue. This acts on productivity and operational outcomes.",51.0,Procedia Manufacturing,2020,2351-9789,https://doi.org/10.1016/j.promfg.2020.10.082,SD
644,AR/VR assisted integrated framework of autonomous disassembly system for industrial products,"['M., Eswaran', 'Bahubalendruni, M.V.A. Raju']","An immersive Augmented Reality (AR) technology enhances productivity and flexibility in manufacturing by providing real-time instructions within workers’ field of view, aiding in complex tasks. According to cognitive load and attention-based theories, AR guidance can reduce cognitive strain, enhancing task performance. The affordance of AR in industrial processes like assembly or disassembly for repair/maintenance has been exploited broadly. However, the prevailing studies on automated user interfaces for AR instruction development, specifically virtual scene creation and target generation for object mapping rendering, still need to be explored. Notably, production industries currently rely on outsourcing skilled professionals to create AR overlaying instructions using manufacturer input. However, the exactness of the disassembly repository is substantial to avoid defects in AR guidance particulars. This underscores the significance of generalized automated AR instruction development and emphasizes the demands for further research. In this work, the autonomous AR-integrated framework is developed for the disassembly context, empowering manufacturers to acquire desired outcomes across various modules. These modules include the validation of the manual user disassembly sequence repository during the prefatory phase of AR instruction creation and the provision of Disassembly Sequence Planning (DSP) input. Additionally, the framework supports the simulation/rendering of disassembly efforts in a virtual platform and the generation of rendering virtual display scenes for appropriate AR-guided object mapping. Furthermore, it enables the generation of essential model targets for registering the AR scenes. Subsequently, the extracted repositories (virtual scenes and model targets) are input into the Unity AR tool to create AR mapping guidance for disassembly operations. The performance of the autonomous disassembly module is evaluated through three case studies with different AR visualizations. Furthermore, the potential of the proposed framework is exploited by extracting feedback from experts regarding flexibility, compatibility, completion time, and cognitive level.",196.0,Computers & Industrial Engineering,2024,0360-8352,https://doi.org/10.1016/j.cie.2024.110522,SD
645,Mobile pupillometry in manual assembly: A pilot study exploring the wearability and external validity of a renowned mental workload lab measure,"['Van Acker, Bram B.', 'Bombeke, Klaas', 'Durnez, Wouter', 'Parmentier, Davy D.', 'Mateus, João Costa', 'Biondi, Alessandro', 'Saldien, Jelle', 'Vlerick, Peter']","Human operators in the upcoming Industry 4.0 workplace will face accelerating job demands such as elevated cognitive complexity. Unobtrusive objective measures of mental workload (MWL) are therefore in high demand as indicated by both theory and practice. This pilot study explored the wearability and external validity of pupillometry, a MWL measure robustly validated in laboratory settings and now deployable in work settings demanding operator mobility. In an ecologically valid work environment, 21 participants performed two manual assemblies - one of low and one of high complexity - while wearing eye-tracking glasses for pupil size measurement. Results revealed that the device was perceived as fairly wearable in terms of physical and mental comfort. In terms of validity, no significant differences in mean pupil size were found between the assemblies even though subjective mental workload differed significantly. Exploratory analyses on the pupil size when attending to the assembly instructions only, were inconclusive. The present work suggests that current lab-based procedures might not be adequate yet for in-the-field mobile pupillometry. From a broader perspective, these findings also invite a more nuanced view on the current validity of lab-validated physiological MWL-measures when applied in real-life settings. We therefore conclude with some key insights for future development of mobile pupillometry.",75.0,International Journal of Industrial Ergonomics,2020,0169-8141,https://doi.org/10.1016/j.ergon.2019.102891,SD
646,A model for developing job rotation schedules that eliminate sequential high workloads and minimize between-worker variability in cumulative daily workloads: Application to automotive assembly lines,"['Yoon, Sang-Young', 'Ko, Jeonghan', 'Jung, Myung-Chul']","The aim of study is to suggest a job rotation schedule by developing a mathematical model in order to reduce cumulative workload from the successive use of the same body region. Workload assessment using rapid entire body assessment (REBA) was performed for the model in three automotive assembly lines of chassis, trim, and finishing to identify which body part exposed to relatively high workloads at workstations. The workloads were incorporated to the model to develop a job rotation schedule. The proposed schedules prevent the exposure to high workloads successively on the same body region and minimized between-worker variance in cumulative daily workload. Whereas some of workers were successively assigned to high workload workstation under no job rotation and serial job rotation. This model would help to reduce the potential for work-related musculoskeletal disorders (WMSDs) without additional cost for engineering work, although it may need more computational time and relative complex job rotation sequences.",55.0,Applied Ergonomics,2016,0003-6870,https://doi.org/10.1016/j.apergo.2016.01.011,SD
647,Evaluation of mental stress in human-robot interaction: an explorative study,"['Rinaldi, Marta', 'Natale, Ciro', 'Fera, Marcello', 'Macchiaroli, Roberto', 'Monaco, Maria Grazia Lourdes', 'Grosse, Eric H.']","The emerging concept of Industry 5.0 has led industries to design industrial environments integrating robots to support human work. The impact of implementing human-robot interaction (HRI) on humans and the work-related stress linked to it is still an open issue. In this context, measuring mental stress is crucial for designing effective HRI environments. This study aims to experimentally test the influence of the robot's presence on mental stress by measuring humans' performance, physiological data, and workload perception. Sixty participants were asked to perform an assembly task while coexisting with a robot. Three scenarios were tested, changing the kind of task performed by the robot and the distance from the participants' working area. Statistical analyses were performed to capture the differences between scenarios. Results show that the robot's presence does not significantly affect the participants' stress levels. However, when the distance to the robot decreases, human performance is affected, concluding that the robot's proximity could cause more distraction to human workers.",232.0,Procedia Computer Science,2024,1877-0509,https://doi.org/10.1016/j.procs.2024.01.072,SD
648,The moderating role of end-tidal CO2 on upper trapezius muscle activity in response to sustained attention,"['Wixted, Fiona', 'O’ Sullivan, Leonard']","With higher levels of automation in modern manufacturing, there is increased monitoring of the process by the human operator. Prolonged monitoring or sustained attention has been found to be stressful for human operators. Plant and process operators have also been found to have one of the highest level of work demands (work speed, pace) in a recent European survey (Eurofound, 2015). Along with this, the incidence of Work Related Musculoskeletal Disorders (WRMSDs) remains at a high level in the manufacturing sector. This research endeavoured to determine if end-tidal CO2 levels decreased and upper trapezius muscle activity increased concurrently with increased levels of attention. We then developed a model to investigate if end-tidal CO2 moderated the relationship between mental workload due to sustained attention and upper trapezius muscle activity. The resulting interactional model found that end-tidal CO2 moderated the relationship (p = 0.004) when end-tidal CO2 reached the hypocapnic range (>35 mm Hg). This model indicates the possibility that a high level of sustained attention is a risk factor in the development of WRMSDs and should therefore be included in workplace risk assessments.",61.0,International Journal of Industrial Ergonomics,2017,0169-8141,https://doi.org/10.1016/j.ergon.2017.04.003,SD
649,"Multi-manned assembly line synchronization with compatible mounting positions, equipment sharing and workers cooperation","['Ferrari, Emilio', 'Faccio, Maurizio', 'Gamberi, Mauro', 'Margelli, Silvia', 'Pilati, Francesco']","The assembly of large and complex products as cars typically involves a huge amount of production resources as workers, pieces of equipment and layout areas. Multi-manned workstations commonly characterize these assembly lines along with some additional features such as compatibility/incompatibility between the different mounting positions, equipment sharing and worker cooperation. The simultaneous management of all such aspects significantly increases the balancing problem complexity. This paper proposes a new mixed integer programming model for such multi-manned assembly line synchronization problem to simultaneously optimize the line efficiency, the line length and the workload smoothness. A customized procedure based on a simulated annealing algorithm is developed to effectively solve this problem. The aforementioned procedure is validated through an industrial case study of an Italian sports car manufacturer distinguished by 665 tasks and numerous synchronization constraints typical of real assembly lines.",52.0,IFAC-PapersOnLine,2019,2405-8963,https://doi.org/10.1016/j.ifacol.2019.11.412,SD
650,Antecedents of turnover intentions and organizational commitment of workers in the apparel industry: The moderating effect of creative behavior and instrumental readiness,"['Senayah, William Kwesi', 'Biney-Aidoo, Vivian']","The study aimed to investigate the antecedents of organizational commitment and turnover intentions among apparel manufacturing workers, specifically focusing on the moderating effects of creative behavior and instrumental readiness. Employing the Expectancy– Confirmation Theory, this study conveniently sampled 393 apparel workers from four free zone exporting firms to gather data. The collected data was analyzed using regression in STATA 14. The study revealed that, although workers were not overburdened with workload, factors such as skills obsolescence, entrepreneurship intention, fairness and rewards had predictive effects on their organizational commitment and turnover intentions. Additionally, the study found that creative behavior and instrumental readiness moderated the relationship between entrepreneurship intention and turnover intention. Given the recent adverse impact of inflation on the economic value of workers' wages and the uncertainty stemming from operational changes regarding skills obsolescence, the study provides valuable insights into how these factors may influence workers’ organizational commitment and turnover intentions. The study contributes important insights into contextualizing and examining turnover and organizational commitment within the apparel manufacturing industry using the hypothesized model developed in the context of the Expectancy-Confirmation Theory.",10.0,Social Sciences & Humanities Open,2024,2590-2911,https://doi.org/10.1016/j.ssaho.2024.101119,SD
651,Collaborative human-centered design of manufacturing tasks: a multi-user immersive VR experience,"['Arkouli, Zoi', 'Tompoulidis, Ilias', 'Kontos, Miltiadis', 'Michalos, George', 'Makris, Sotiris']","Work-related musculoskeletal disorders are among the top factors impacting the individual’s performance and the overall company’s productivity. Virtual Reality (VR) has enabled proactive consideration of human factors. However, there are still barriers impeding the broader adoption of human-in-the-loop approaches, including the number and roles of people involved in simulation stages and the complexity of modelling lengthy task sequences. This paper presents a multi-user immersive VR simulation framework for collaborative human-centered task evaluation involving engineers and operators. The software architecture enabling multi-user VR sessions is discussed, together with a hierarchical approach for modelling complex manufacturing tasks in VR applications and collecting structured data from the simulations. Metrics such as heatmap and Rapid Upper Limb Assessment are integrated for informed decision-making about task redesign. The proposed approach was tested in a case study inspired by large parts manufacturing, where operators need to work in teams. The server-client network enabled the engineer to comprehensively assess the design of the task having two operators executing virtual actions in parallel as they would in the actual workstation. The collection of data from the team of operators and their intuitive visualization enhanced the effectiveness in identifying aspects introducing discomfort and assessing the overall suitability of the design for human operators.",128.0,Procedia CIRP,2024,2212-8271,https://doi.org/10.1016/j.procir.2024.07.056,SD
652,Neurobehavioral assessment of force feedback simulation in industrial robotic teleoperation,"['Zhu, Qi', 'Du, Jing', 'Shi, Yangming', 'Wei, Paul']","Telerobotic operation, i.e., a human operator to manipulate remote robotic systems at a distance, has started to gain its popularity in the construction industry. It is expected to help tackle operational challenges in dynamic construction workplaces. The success of telerobotic operation builds on the effective design of the human-robot interface to provide human operators with necessary senses about the remote workplaces, involving multimodal sensory cues, such as visual, audio and haptic feedback. Especially the force feedback design in telerobotic control interface is of central interest and is becoming the main feature of the bilateral control system for teleoperation, as it helps provide feedback about heavy physical interactions and processes in typical construction operations. Nonetheless, how force feedback simulation solutions affect the human operator's perceptional and behavioral reactions is less understood. This paper investigates the neurobehavioral performance of operators with a bilateral control system in a typical industrial valve operation experiment (n = 21). The experiment tested two force feedback conditions: Realistic (the system replicates the exact same feeling of the torque in valve manipulation operations) and Mediated (the simulation reduces the force on the human operator end by 50% to enable more flexible controls). The performance of the participants was evaluated via various metrics, including task performance, human performance and operational velocity uniformity. Data was collected with eye-tracking, neuroimaging (functional near-infrared spectroscopy, fNIRS), motion analysis, and NASA TLX surveys. The results indicated that the mediated force feedback in bilateral telerobotic operation helped more accurate operation, increased dual tasking, reduced cognitive load and more efficient neural functions; yet it encouraged participants to engage in more irregular actions, showing as dramatic changes in valve rotating speeds. The findings suggest that the force feedback design of telerobotic systems should be more carefully thought through to balance the advantages and disadvantages.",126.0,Automation in Construction,2021,0926-5805,https://doi.org/10.1016/j.autcon.2021.103674,SD
653,A Decision Support System tailored to the Maintenance Activities of Industry 5.0 Operators,"['Oliveri, L.M.', 'Lo Iacono, N.', 'Chiacchio, F.', 'Facchini, F.', 'Mossa, G.']","Industry 5.0 addresses the human challenges of Industry 4.0 as a human-centric solution, placing the worker’s well-being at the centre of the production process. If, on the one hand, the last technologies support operator 5.0 to embrace the collaborative potential of human-machine cooperation, on the other hand, the complexity, as well as the rapid evolution of new technologies, could have the potential to produce immediate stress reaction leading to reduce the workers’ well-being. Recent studies have proved that the maintenance area is experiencing many innovations in terms of approaches and technologies. In this field, the rapid progress of technological equipment is leading to an increase in the human operators’ mental workload. This paper presents preliminary concepts and objectives of a Decision Support System (DSS) for the Diagnosis and Evaluation of Maintenance Operations. The DSS intends to assist industrial professionals and stakeholders in maintenance tasks characterised by significant cognitive demands. Considering variables such as task complexity and the mental and physical condition of operators involved in a maintenance task, the DSS will provide real-time recommendations for selecting the most suitable operators by promoting a gradual technology introduction, increasing industrial performance, and ensuring the well-being of the workers.",58.0,IFAC-PapersOnLine,2024,2405-8963,https://doi.org/10.1016/j.ifacol.2024.08.118,SD
